State,City,Hospital / Private,Category,Systems of Medicine,Contact Details,Area Pin Code,Email address,Website link,Specializations,Services
Andaman and Nicobar Islands,Port Blair,"G B Pant Hospital, Port Blair",Public,Allopathic,"GB Pant Road, City Centre, Port Blair, Andaman and Nicobar Islands, Phone- (03192) 233665, 246058, 233455, 230858",744103,NA,http://www.and.nic.in/C_charter/health/dhs/index.html#gph,"Surgery, Medicine, Gynaecology, Pediatrics, ENT, Pathology and Ophthalmology",NA
Andhra Pradesh,Hyderabad,"Care Hospital, Banjara",Private,Allopathic,"Road No.1, Banjara Hills, Hyderabad, Andhra Pradesh, Phone- (040) 30418888, 66668888, 23234444, Emergency: (040) 30418888, Toll Free:18001086666",500034,info@carehospitals.com,www.carehospitals.com,"Anaesthesiology, Bio-Chemistry, Cardiac Yoga,CardiologyCardiothoracic Surgery, Chest Physician, Critical Care, Dentistry and Maxillofacial Surgery, Dermatology, Diabetology, Dietetics, Emergency Medicine,  Endocrinology, Endoscopy, Gastroenterology,  Gastrointestinal Medicine,  General Medicine,  General Surgery,  Geriatrics, Gynaecology,  haematology, Hepatology,  Internal Medicine,  Interventional Radiology,  Laboratory Medicine,  Laparoscopic Surgery,  Medical Oncology,  Micro-Biology, Nephrology,  Neuro Surgery, Neurology,  Nuclear Medicine,  Obstetrics and Gynaecology,  Ophthalmology,  Orthopedics and Traumatology, Otorhinolaryngology Pathology, Pediatric , Cardiology,  Pediatric Surgery, Pediatric,  Pediatric and Neonatology,  Physiotherapy, Plastic Surgery and Cosmetic Surgery, Preventive , Medicine / Wellness, Psychiatry,  Pulmonology, Radio-Diagnosis,  Radiology, Respiratory, Medicine, Rheumatology, Sports Medicine Surgical Gastroenterology Surgical Oncology, Urology Vascular Surgery","Ambulance, Blood Bank, Casualty, Diagnostic, Services, Dialysis Unit, Electrotherapy, Emergency Room, Exercise therapy, Home Health, Care ServicesLifestyle Clinic - A Preventive Medicine CentrePharmacy"
Andhra Pradesh,Hyderabad,L V Prasad Eye Institute,Private,Allopathic,"Kallam Anji Reddy Campus, L V Prasad Marg, Banjara Hills, Hyderabad, Andhra Pradesh, Phone- (040) 30612345, Emergency: (040) 30612100,09347573377 Appointment: (040) 39892020",500034,appointment@lvpei.org,www.lvpei.org,Ophthalmology,NA
Andhra Pradesh,Hyderabad,Apollo Hospitals,Private,Allopathic,"Jubilee Hills, Hyderabad, Andhra Pradesh, Phone- (040) 23607777, Emergency: (National) 1860 - 500 - 1066 , (International) : 0091-404-344-1066",500033,apollohealthcity@apollohospitals.com,www.apollohospitals.com,"Cardiology,  Cardiothoracic Surgery,  Cosmetic Surgery,  Cosmetology,  Critical Care,  Diabetology,  Endocrinology, Gastroenterology,  Micro Surgery,  Nephrology,  Neuro Surgery,  Neurology,  Obstetrics and Gynaecology,  Oncology,  Ophthalmology,  Orthopedics,  Pediatric Cardiology,  Plastic Surgery,  Urology","Inpatient, Accommodation, Food and Beverage Services, International Patient Services, 24 hours pharmacy services, Blood Bank, Ambulance Service, Cafeteria"
Andhra Pradesh,Hyderabad,Mediciti Hospital,Private,Allopathic,"5 - 9 - 22, Secretariat Road, Hyderabad, Andhra Pradesh, Phone- (040) 23231111",500063,info@medicitihospitals.com,www.medicitihospitals.com,"Anaesthesiology,  Cardiology,  Cardiothoracic Surgery,  Critical Care,  Dermatology,  Dietetics,  Emergency Medicine,  Endocrinology,  ENT, Gastroenterology, General Surgery, Gynaecology, Internal Medicine, Laboratory Medicine.  Nephrology.  Neuro Surgery.  Neurology.  Oncology,  Ophthalmology,  Orthopedics,  Physiotherapy,  Plastic Surgery,  Psychiatry,  Pulmonology,  Radiology,  Urology","Accident and Emergency Ward, Cardiothoracic, Intensive care unit, Intensive coronary care unit, Kidney Transplant Unit, Medical Intensive care unit, Multispeciality Intensive care unit, Neuro ICURehabilitation Ward, Surgical intensive care unit, Suite, Super deluxe, Room, Deluxe Room, A/C single RoomA/C Sharing RoomNon A/C single RoomNon A/C sharing RoomA/C general ward"
Andhra Pradesh,Hyderabad,"KIMS Hospital, Secunderabad",Private,Allopathic,"Secunderabad, 1 - 8 - 31/1, Minister Road, Secunderabad, Hyderabad, Andhra Pradesh, Phone- (040) 44885000, 44885184, Emergency: 09849990401",500003,info@kims.co.in,www.kimshospitals.com,"Accident and Emergency, Anaesthesiology, Bariatric Surgery, Bone Marrow, Transplant,  Cardiology,  Cardiothoracic Surgery,  Cardiovascular Surgery,  Clinical Psychology,  Cosmetology,  Critical Care,  Dentistry,  Dermatology,  Diabetology,  Dietetics,  Emergency Medicine,  Endocrinology,  ENT,  Gastroenterology,  Hair Transplantation,  Internal Medicine,  Interventional Cardiology,  Interventional , Neuroradiology,  Kidney Transplantation,  Laboratory Medicine,  Liver Transplant,  Medical Oncology,  Nephrology,  Neuro Surgery,  Neurology,  Nuclear Medicine,  Obstetrics and Gynaecology Oncology Ophthalmology Orthopedics Pain Management Pediatric Surgery Pediatric and Neonatology Plastic Surgery Psychiatry Pulmonology Radiation Oncology Radiology and Imageology Rheumatology Robotic Surgery Spine Surgery Surgical Gastroenterology Surgical Oncology Transfusion Medicine Urology Vascular Surgery","24 hours Ambulance service ,Round the clock pharmacy, Diagnostic centreCritical and Intensive Care, Epilepsy Clinic, Fertility CentreHair TransplantObesity ClinicPalliative CareProstatic ClinicRehabilitation CentreStroke ClinicWellness Clinic"
Andhra Pradesh,Hyderabad,Kamineni Hospital,Private,Allopathic,"L.B Nagar, Hyderabad, Andhra Pradesh, Phone- (040) 39879999, Emergency: (040) 66002200, 24022222",500068,info@kaminenihospitals.com,www.kaminenihospitals.com,"Anaesthesiology,  Bariatric Surgery,  Cardiology,  Cardiothoracic Surgery,  Cosmetic Surgery,  Critical Care,  Dentistry and Maxillofacial Surgery,  Dermatology,  Emergency Medicine,  Endocrinology ,  ENT, Gastroenterology, General Medicine, General Surgery, Genetics, Gynaecology, Medical Oncology,  Micro-Biology,  Nephrology,  Neuro Surgery,  Neurology,  Oncology,  Ophthalmology Orthopedics Pain Management Pathology Pediatric Surgery Pediatric Physiotherapy Plastic Surgery Preventive Medicine / Wellness Psychiatry Pulmonology Radiation Oncology Radiology Spine Surgery Surgical Gastroenterology Surgical Oncology Urology","Intensive Medical Care Unit, Intensive Surgical Care Unit, Intensive Neuro Care Unit, Intensive Pediatric Care Unit, Intensive Neonatal Care Unit, Intensive Respiratory Care Unit, Intensive Renal Care Unit, Intensive Coronary Care Unit, Multi-Speciality, Services Under One Roof24 X 7, Hi tech Ambulance Services24 X 7 Pharmacy24 X 7 Blood Bank24 X 7 Emergency Care Unit24 X 7 Trauma Care Unit"
Andhra Pradesh,Hyderabad,Yashoda Hospital,Private,Allopathic,"Somajiguda, Rajbhavan Road, Hyderabad, Andhra Pradesh, Phone- (040) 23319999",500082,somajiguda@yashodahospitals.com,www.yashodahospitals.com,"Anaesthesiology,  Cardiac Anesthesia,  Cardiology,  Cardiothoracic Surgery,  Critical Care,  Dentistry,  Dermatology,  Emergency Medicine,  Endocrinology,  ENT,  Gastroenterology,  General Medicine,  Gynaecology,  haematology,  Infectious Diseases,  Medical Oncology,  Nephrology,  Neuro Surgery,  Neurology,  Obstetrics and Gynaecology,  Oncology,  Orthopedics,  Pathology,  Pediatric,  Physiotherapy,  Plastic Surgery,  Psychiatry,  Pulmonology,  Radiation Oncology ,  Radiology,  Rheumatology,  Spine Surgery,  Surgical Oncology,  Urology Vascular Surgery","Dual Source CT-Scan, 16 Channel 1.5T HDx MRI system, Master Health, Check-up Child Health Check-up, Diabetic Check-up, Executive Health Check-up, Heart Check-up, Life Check-up, Low Backache Check-up, Sports Check-up, Well Woman Check-up"
Andhra Pradesh,Hyderabad,Fernandez Hospital,Private,Allopathic,"Plot No. 769, Road No.44, Jubilee Hills, Hyderabad, Andhra Pradesh, Phone- (040) 40632600, Appointment: (040) 40632600",500033,info@fernandezhospital.com,www.fernandezhospital.com,"Anaesthesiology,  Critical Care,  Endocrinology,  Fetal Medicine,  Gynaecology,  Obstetrics and Gynaecology,  Pathology,  Pediatric,  Physiotherapy,  Psychology,","Pathology, Radiology, X-Ray, Blood bank"
Andhra Pradesh,Hyderabad,Global Hospital,Private,Allopathic,"6 - 1 - 1040/1 to 4 Lakdikapul, Hyderabad, Andhra Pradesh, Phone- (040) 23244444",500004,info@globalhospitals.com,www.globalhospitalsindia.com,"Anaesthesiology,  Bariatric Surgery,  Cardiology,  Cardiothoracic Surgery,  Critical Care,  Dentistry,  Dermatology,  Diabetology,  ENT,  ENT and Head and Neck Surgery, Gastroenterology , Gynaecology,  Internal Medicine,  Interventional Radiology,  Laboratory Medicine,  Maxillofacial Surgery,  Minimal Access Surgery,  Nephrology,  Neurology,  Nuclear Medicine,  Obstetrics and Gynaecology,  Oncology,  Ophthalmology,  Orthopedics,  Pediatric,  Pulmonology,  Radiology,  Rheumatology,  Urology,  Vascular Surgery","TrueBeam, STXOperation TheatreIntensive Care Units, Endoscopy and ERCP, Ultra sound, PET-CT, X-Ray, Sterile zones, Cath Laboratory, Liver dialysis, CT Scan, MRI,"
Andhra Pradesh,Hyderabad,Asian Institute of Gastroenterology,Private,Allopathic,"6 - 3 - 661, Somajiguda, Hyderabad, Andhra Pradesh, Phone- (040) 23378888",500082,aigindiainfo@yahoo.co.in,www.aigindia.net,"Anaesthesiology,  Bio-Chemistry, Gastroenterology,  Hepatology,  Interventional Radiology,  Micro-Biology,  Pathology,  Radiology,  Surgical Gastroenterology,  Transfusion Medicine","Out patient service, Endoscopy services, Day care services, In patient services including intensive care unit, Specialized procedures,"
Andhra Pradesh,Hyderabad,Udai Clinic Orthopedic Centre,Private,Allopathic,"5 - 9 - 94, Chapel Road, Hyderabad, Andhra Pradesh, Phone- (040) 23232226, 23233195",500001,info@udaiclinic.com,www.udaiclinic.com,"Accident and Emergency,  Joint Replacement Surgery,  Orthopedic Surgery,  Orthopedics,  Orthopedics and Traumatology,  Pediatric , Orthopedics, Sports Injuries","Bone and Soft Tissue, TumorsFoot and AnkleHand, Wrist and Elbow, Hip, Knee, Osteoporosis and Osteomalacia, Spinal Disorders, Shoulders"
Andhra Pradesh,Hyderabad,Homeocare International,Private,Ayush/ Homeopathy,"Near Ashok Bhupal Chambers, Secunderabad, 63, S.P. Road, Opposite Nissan Show Room, Begumpet, Hyderabad, Andhra Pradesh, Phone- 09550003388, 09550001111Toll Free :1800-108-1212",500003,cyberclinic@homeocares.com,www.homeocares.com,Homeopathy,"Arthritis, Sexual Problems, Thyroid Disorders, Respiratory Disorders, Skin Disorders, Female DisordersInfertility, Gastric Disorders, Kidney Problems, Auto Immune, Disorders"
Andhra Pradesh,Hyderabad,Narayana Hrudayalaya Malla Reddy Hospital,Private,Allopathic,"D No 1 - 1 - 216, Survey No 114 and 115, Suraram X Roads, Jeedimetla, Hyderabad, Andhra Pradesh, Phone- (040) 23783000, 65262016, Helpline: (040) 22152215",500055,nh.hyd@hrudayalay.com,www.narayanahospitals.com,"Anesthesiology,  Cardiology,  Cosmetic Surgery,  Dentistry,  Dermatology,  ENT, Gastroenterology,  Gynaecology,  haematology,  Interventional , Neuroradiology,  Neuro Surgery,  Neurology,  Nuclear Medicine,  Ophthalmology,  Orthodontics,  Pain Management,  Pediatric Cardiology,  Pediatrics,  Psychiatry,  Radiation Oncology,  Urology,  Vascular Surgery","Blood Bank, Laboratory service, PhysiotherapyYoga, Molecular Diagnostics,"
Andhra Pradesh,Hyderabad,Nizams Institute of Medical Sciences (NIMS),Public,Allopathic,"Panjagutta, Hyderabad, Andhra Pradesh Phone- (040) 23390933,23399690,23489244",500082,nims@ap.nic.in weblink not working,http://nims.ap.nic.in/,"Anesthesiology,  Cardiology,  Cardiothoracic , Surgery , Chest Physician Clinical , Pharmacology,  Dentistry,  Dermatology,  Endocrinology, Gastroenterology,  General Medicine,  Gynaecology,  Medical Oncology,  Nephrology,  Neuro Surgery,  Neurology,  Orthodontics,  Pathology,  Pediatrics,  Physiotherapy,  Plastic Surgery,  Radiation Oncology , Radiology,  Rheumatology,  Surgical Gastroenterology Surgical Oncology Urology Vascular Surgery",Accident and Emergency
Andhra Pradesh,Hyderabad,Sathya Kidney Centre and Super Speciality Hospital,Private,Allopathic,"Gagan Mahal, Domalguda, Himayath Nagar,Hyderabad, Andhra Pradesh 500029, IndiaPhone:+91 4027636444",500029,NA,www.sathyakidney.in,Nephrology,NA
